Repository,Version,Date,License,Snyk,Docs,README,Dependencies,Tech,Public Code
hmd-cli-mickey,1.0.51,2023-Mar-01,2023-Feb-09,2023-Feb-09,2023-Feb-09,2023-Feb-09,"hmd-cli-tools,
hmd-tf-mickey,
hmd-cli-app",Python,
hmd-tf-mickey,1.0.91,2026-Feb-24,2023-Feb-09,2023-Feb-09,2023-Feb-09,2023-Feb-09,,Docker,
hmd-cli-configure,1.0.42,2026-Feb-24,2023-Jan-31,2023-Apr-12,2023-Jan-31,2023-Jan-31,"hmd-cli-tools,
hmd-cli-app",Python,
hmd-cli-app,1.2.620,2026-Feb-24,2023-Jan-31,2023-Apr-12,2023-Jan-31,2023-Jan-31,hmd-cli-tools,Python,
hmd-cli-tools,1.2.243,2026-Feb-24,2023-Jan-31,2023-Apr-12,2023-Jan-31,2023-Jan-31,,Python,
hmd-cli-repo,0.3.160,2026-Feb-24,2023-Feb-14,2023-Apr-12,,,"hmd-cli-app,
hmd-cli-tools",Python,
hmd-cli-neuronsphere,0.4.173,2026-Feb-24,2023-Feb-14,2023-Apr-12,2023-Feb-14,2023-Feb-14,"hmd-cli-app,
hmd-cli-tools,
hmd-img-local-gateway,
hmd-img-jupyter-multiarch,
hmd-postgres-base,
hmd-inf-superset,
hmd-img-airflow,
hmd-ms-transform,
hmd-img-trino,
hmd-inf-hive-metastore,
hmd-img-hdfs-namenode,
hmd-img-hdfs-datanode",Python,
hmd-img-local-gateway,0.1.51,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-img-jupyter-multiarch,0.1.5,2023-Mar-01,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-postgres-base,0.2.11,2023-Mar-01,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-inf-superset,0.5.226,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-img-airflow,0.4.160,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-ms-transform,1.0.807,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-ms-base,0.2.251,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,,Docker,
hmd-graphql,0.1.175,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,"hmd-cli-tools,
hmd-entity-storage,
hmd-meta-types,
hmd-base-service,
hmd-schema-loader",Python,
hmd-entity-storage,0.2.318,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,"hmd-meta-types,
hmd-cli-tools",Python,
hmd-schema-loader,0.2.35,2023-Mar-01,2023-Feb-14,2023-Feb-14,,,,Python,
hmd-graphql-client,0.1.169,2026-Feb-24,2023-Feb-14,2023-Feb-14,,,"hmd-meta-types,
hmd-schema-loader,
hmd-entity-storage,
hmd-cli-tools,
hmd-lib-auth",Python,
